code,trade_date,open,high,low,close,volume,pct_change,source
600519.SH,2026-04-03,1663.56,1709.65,1646.99,1684.72,39481380.0,0.0,sample
600519.SH,2026-04-06,1690.14,1705.6,1623.93,1639.77,17748201.0,-2.67,sample
600519.SH,2026-04-07,1645.2,1649.97,1600.12,1621.18,33273221.0,-1.13,sample
600519.SH,2026-04-08,1599.08,1619.84,1575.52,1618.33,16711618.0,-0.18,sample
600519.SH,2026-04-09,1635.11,1667.53,1545.0,1572.42,22395686.0,-2.84,sample
600519.SH,2026-04-10,1575.13,1627.53,1573.51,1596.22,25220585.0,1.51,sample
600519.SH,2026-04-13,1583.31,1614.13,1545.97,1559.94,5112882.0,-2.27,sample
600519.SH,2026-04-14,1558.84,1624.21,1552.77,1600.34,35889141.0,2.59,sample
600519.SH,2026-04-15,1590.08,1637.27,1571.27,1605.19,33952823.0,0.3,sample
600519.SH,2026-04-16,1606.16,1677.24,1602.17,1645.63,16399917.0,2.52,sample
600519.SH,2026-04-17,1637.79,1664.46,1610.11,1656.92,20860839.0,0.69,sample
600519.SH,2026-04-20,1660.26,1697.64,1653.9,1670.59,28073934.0,0.83,sample
600519.SH,2026-04-21,1650.07,1666.62,1618.8,1622.03,21850742.0,-2.91,sample
600519.SH,2026-04-22,1607.26,1639.63,1591.71,1614.43,45514398.0,-0.47,sample
600519.SH,2026-04-23,1619.03,1647.3,1598.33,1610.78,17051625.0,-0.23,sample
600519.SH,2026-04-24,1614.81,1651.4,1595.32,1623.79,37014214.0,0.81,sample
600519.SH,2026-04-27,1608.16,1615.19,1581.79,1601.29,49547724.0,-1.39,sample
600519.SH,2026-04-28,1581.6,1622.18,1555.66,1610.51,11428751.0,0.58,sample
600519.SH,2026-04-29,1587.97,1620.79,1562.04,1605.19,11633860.0,-0.33,sample
600519.SH,2026-04-30,1608.68,1629.93,1578.53,1590.8,13838639.0,-0.9,sample
600519.SH,2026-05-01,1578.47,1585.53,1550.2,1563.19,38248245.0,-1.74,sample
600519.SH,2026-05-04,1549.63,1563.4,1501.65,1527.85,31968270.0,-2.26,sample
600519.SH,2026-05-05,1506.35,1522.41,1490.3,1492.21,47508334.0,-2.33,sample
600519.SH,2026-05-06,1477.65,1492.82,1462.1,1486.99,32286868.0,-0.35,sample
600519.SH,2026-05-07,1502.25,1543.77,1488.2,1519.84,31554561.0,2.21,sample
600519.SH,2026-05-08,1527.62,1543.2,1515.56,1540.61,31716880.0,1.37,sample
600519.SH,2026-05-11,1522.53,1543.91,1493.59,1508.28,37049410.0,-2.1,sample
600519.SH,2026-05-12,1514.97,1521.66,1456.41,1485.32,3786062.0,-1.52,sample
600519.SH,2026-05-13,1467.26,1528.05,1462.74,1501.72,44441752.0,1.1,sample
600519.SH,2026-05-14,1511.8,1538.74,1468.54,1482.05,13005715.0,-1.31,sample
600519.SH,2026-05-15,1464.37,1521.2,1452.52,1497.17,25823474.0,1.02,sample
600519.SH,2026-05-18,1477.2,1556.34,1473.16,1530.71,32771647.0,2.24,sample
600519.SH,2026-05-19,1544.98,1571.19,1525.22,1564.83,8578563.0,2.23,sample
600519.SH,2026-05-20,1584.53,1604.05,1521.77,1549.19,44690927.0,-1.0,sample
600519.SH,2026-05-21,1562.68,1603.28,1536.99,1593.6,1046785.0,2.87,sample
600519.SH,2026-05-22,1580.11,1661.95,1553.07,1630.72,3141409.0,2.33,sample
600519.SH,2026-05-25,1621.43,1693.25,1607.46,1678.68,18395588.0,2.94,sample
600519.SH,2026-05-26,1688.23,1754.9,1661.16,1722.29,38379528.0,2.6,sample
600519.SH,2026-05-27,1698.57,1724.67,1646.22,1671.78,28799846.0,-2.93,sample
600519.SH,2026-05-28,1679.65,1703.61,1644.84,1646.67,45979588.0,-1.5,sample
600519.SH,2026-05-29,1668.19,1691.03,1598.8,1603.81,13452830.0,-2.6,sample
600519.SH,2026-06-01,1600.99,1628.18,1591.45,1622.0,10405688.0,1.13,sample
600519.SH,2026-06-02,1619.41,1685.9,1605.82,1654.72,18004901.0,2.02,sample
600519.SH,2026-06-03,1650.02,1674.07,1622.71,1629.73,3711405.0,-1.51,sample
