code,trade_date,open,high,low,close,volume,amount,pct_change,source
600519.SH,2026-04-03,1687.37,1696.44,1645.83,1670.16,31023563.0,51814313980.08,0.0,sample
600519.SH,2026-04-06,1665.86,1670.72,1613.73,1636.65,34549287.0,56545090568.55,-2.01,sample
600519.SH,2026-04-07,1649.33,1660.57,1617.84,1618.33,49686242.0,80408736015.86,-1.12,sample
600519.SH,2026-04-08,1627.12,1643.68,1621.95,1641.81,39124782.0,64235458335.42,1.45,sample
600519.SH,2026-04-09,1650.32,1655.24,1603.63,1628.71,36373481.0,59241852239.51,-0.8,sample
600519.SH,2026-04-10,1642.54,1660.08,1623.87,1632.34,3920000.0,6398772800.0,0.22,sample
600519.SH,2026-04-13,1623.21,1628.66,1586.21,1601.31,37640420.0,60273980950.2,-1.9,sample
600519.SH,2026-04-14,1612.2,1614.38,1583.0,1614.33,40508313.0,65393784925.29,0.81,sample
600519.SH,2026-04-15,1619.63,1622.27,1555.38,1568.44,9001155.0,14117771548.2,-2.84,sample
600519.SH,2026-04-16,1547.46,1629.85,1525.23,1601.52,31488146.0,50428895581.92,2.11,sample
600519.SH,2026-04-17,1602.46,1618.14,1586.32,1586.59,22259379.0,35316508127.61,-0.93,sample
600519.SH,2026-04-20,1564.83,1571.55,1532.78,1563.82,26838052.0,41969882478.64,-1.44,sample
600519.SH,2026-04-21,1562.65,1607.03,1559.97,1601.44,49616820.0,79458360220.8,2.41,sample
600519.SH,2026-04-22,1583.32,1677.28,1581.15,1647.2,1001683.0,1649972237.6,2.86,sample
600519.SH,2026-04-23,1663.85,1664.02,1603.97,1614.47,24542705.0,39623460941.35,-1.99,sample
600519.SH,2026-04-24,1596.6,1647.78,1579.07,1629.28,42509681.0,69260173059.68,0.92,sample
600519.SH,2026-04-27,1650.57,1694.09,1641.29,1662.91,14054441.0,23371270483.31,2.06,sample
600519.SH,2026-04-28,1643.12,1741.42,1628.08,1707.34,20499411.0,34999464376.74,2.67,sample
600519.SH,2026-04-29,1710.57,1732.33,1690.0,1730.2,17066776.0,29528935835.2,1.34,sample
600519.SH,2026-04-30,1739.22,1799.05,1728.21,1776.15,25601756.0,45472558919.4,2.66,sample
600519.SH,2026-05-01,1784.83,1809.08,1764.23,1796.58,30124487.0,54121050854.46,1.15,sample
600519.SH,2026-05-04,1784.33,1817.85,1765.56,1773.89,17588779.0,31200559180.31,-1.26,sample
600519.SH,2026-05-05,1777.89,1825.11,1755.81,1793.12,4787053.0,8583760475.36,1.08,sample
600519.SH,2026-05-06,1811.83,1817.73,1751.21,1753.58,18566591.0,32558002645.78,-2.21,sample
600519.SH,2026-05-07,1778.74,1825.85,1753.77,1800.17,13434678.0,24184704295.26,2.66,sample
600519.SH,2026-05-08,1816.79,1862.78,1785.81,1828.02,15583536.0,28487015478.72,1.55,sample
600519.SH,2026-05-11,1837.13,1850.51,1781.51,1816.83,16095235.0,29242305805.05,-0.61,sample
600519.SH,2026-05-12,1824.46,1875.0,1807.42,1869.86,21502044.0,40205811993.84,2.92,sample
600519.SH,2026-05-13,1896.91,1912.18,1862.99,1893.58,41200841.0,78017088500.78,1.27,sample
600519.SH,2026-05-14,1903.09,1948.38,1900.9,1918.6,22829129.0,43799966899.4,1.32,sample
600519.SH,2026-05-15,1942.01,1965.5,1851.2,1869.49,42126365.0,78754818103.85,-2.56,sample
600519.SH,2026-05-18,1869.34,1873.04,1797.71,1825.79,17303042.0,31591721053.18,-2.34,sample
600519.SH,2026-05-19,1834.18,1862.44,1754.9,1787.01,13807947.0,24674939368.47,-2.12,sample
600519.SH,2026-05-20,1760.68,1802.57,1746.9,1794.02,35037554.0,62858072627.08,0.39,sample
600519.SH,2026-05-21,1769.99,1825.4,1749.76,1791.25,36400588.0,65202553255.0,-0.15,sample
600519.SH,2026-05-22,1774.07,1808.57,1763.61,1779.6,15225334.0,27095004386.4,-0.65,sample
600519.SH,2026-05-25,1767.75,1837.22,1747.68,1816.37,16048887.0,29150716880.19,2.07,sample
600519.SH,2026-05-26,1813.49,1819.42,1766.47,1766.65,18487260.0,32660517879.0,-2.74,sample
600519.SH,2026-05-27,1776.69,1831.4,1773.61,1802.04,13484316.0,24299276804.64,2.0,sample
600519.SH,2026-05-28,1805.69,1833.86,1767.38,1803.09,29399365.0,53009701037.85,0.06,sample
600519.SH,2026-05-29,1799.63,1850.25,1779.18,1827.27,20537162.0,37526940007.74,1.34,sample
600519.SH,2026-06-01,1832.61,1871.36,1796.44,1863.51,11299129.0,21056039882.79,1.98,sample
600519.SH,2026-06-02,1871.33,1876.15,1836.19,1847.89,38568609.0,71270546885.01,-0.84,sample
600519.SH,2026-06-03,1836.7,1902.11,1826.57,1885.7,44462865.0,83843624530.5,2.05,sample
600519.SH,2026-06-04,1906.89,1933.3,1877.35,1928.23,25134901.0,48465870155.23,2.26,sample
600519.SH,2026-06-05,1921.15,1933.03,1916.54,1925.82,48720920.0,93827722154.4,-0.12,sample
600519.SH,2026-06-08,1936.86,1976.57,1914.79,1945.14,18644724.0,36266598441.36,1.0,sample
600519.SH,2026-06-09,1956.39,1956.77,1949.32,1951.62,4341640.0,8473231456.8,0.33,sample
600519.SH,2026-06-10,1926.63,1973.6,1916.49,1963.45,23683351.0,46501075520.95,0.61,sample
600519.SH,2026-06-11,1950.13,1980.9,1918.74,1948.76,19872697.0,38727117005.72,-0.75,sample
600519.SH,2026-06-12,1946.56,1955.42,1881.64,1901.55,47158771.0,89674760995.05,-2.42,sample
600519.SH,2026-06-15,1898.75,1927.04,1894.71,1909.53,39003883.0,74479084704.99,0.42,sample
600519.SH,2026-06-16,1927.42,1982.12,1925.62,1955.25,28467782.0,55661630755.5,2.39,sample
600519.SH,2026-06-17,1950.28,2005.6,1934.24,1967.86,30270824.0,59568743716.64,0.64,sample
600519.SH,2026-06-18,1980.18,1992.05,1910.14,1936.71,30822537.0,59694315633.27,-1.58,sample
600519.SH,2026-06-19,1940.73,1975.77,1919.08,1939.48,31290129.0,60686579392.92,0.14,sample
600519.SH,2026-06-22,1911.51,1936.39,1907.45,1913.6,30363222.0,58103061619.2,-1.33,sample
600519.SH,2026-06-23,1900.14,1910.2,1861.22,1880.01,8702171.0,16360168501.71,-1.76,sample
600519.SH,2026-06-24,1870.46,1958.12,1858.71,1928.03,1942526.0,3745248403.78,2.55,sample
600519.SH,2026-06-25,1914.9,1937.49,1896.44,1900.3,27379446.0,52029161233.8,-1.44,sample
