code,trade_date,open,high,low,close,volume,amount,pct_change,source
600519.SH,2026-04-03,1677.17,1721.85,1651.22,1720.74,3927348.0,6757944797.52,0.0,sample
600519.SH,2026-04-06,1704.95,1762.6,1696.32,1730.03,16458406.0,28473536132.18,0.54,sample
600519.SH,2026-04-07,1739.72,1783.49,1713.54,1778.54,29062104.0,51688114448.16,2.8,sample
600519.SH,2026-04-08,1770.19,1786.78,1702.25,1731.53,3982771.0,6896287469.63,-2.64,sample
600519.SH,2026-04-09,1748.54,1782.8,1681.15,1698.82,30843075.0,52396832671.5,-1.89,sample
600519.SH,2026-04-10,1711.69,1756.35,1699.57,1734.57,3962785.0,6873727977.45,2.1,sample
600519.SH,2026-04-13,1750.56,1793.37,1735.01,1775.81,33870789.0,60148085814.09,2.38,sample
600519.SH,2026-04-14,1794.09,1802.27,1697.79,1724.09,40577431.0,69959143012.79,-2.91,sample
600519.SH,2026-04-15,1732.51,1760.66,1706.07,1728.51,15247843.0,26356049103.93,0.26,sample
600519.SH,2026-04-16,1737.97,1744.15,1709.3,1727.55,37287037.0,64415220769.35,-0.06,sample
600519.SH,2026-04-17,1712.19,1730.46,1664.35,1685.36,36674127.0,61809106680.72,-2.44,sample
600519.SH,2026-04-20,1681.58,1769.76,1665.79,1735.52,2845649.0,4938680752.48,2.98,sample
600519.SH,2026-04-21,1719.27,1796.03,1705.68,1773.16,39474969.0,69995436032.04,2.17,sample
600519.SH,2026-04-22,1796.01,1803.41,1765.59,1790.88,12255507.0,21948142376.16,1.0,sample
600519.SH,2026-04-23,1814.23,1816.0,1784.96,1790.08,20988979.0,37571951528.32,-0.04,sample
600519.SH,2026-04-24,1782.94,1811.78,1765.44,1800.69,42201494.0,75991808230.86,0.59,sample
600519.SH,2026-04-27,1825.9,1857.68,1772.22,1799.17,27174010.0,48890663571.7,-0.08,sample
600519.SH,2026-04-28,1814.52,1816.51,1779.61,1800.28,23690336.0,42649238094.08,0.06,sample
600519.SH,2026-04-29,1788.52,1878.39,1775.32,1850.01,49015274.0,90678747052.74,2.76,sample
600519.SH,2026-04-30,1842.21,1877.1,1833.56,1855.86,31975386.0,59341839861.96,0.32,sample
600519.SH,2026-05-01,1883.39,1919.63,1845.71,1876.08,16252344.0,30490697531.52,1.09,sample
600519.SH,2026-05-04,1870.38,1932.67,1843.55,1908.26,32968943.0,62913315169.18,1.72,sample
600519.SH,2026-05-05,1883.8,1954.94,1861.39,1943.63,48491323.0,94249190122.49,1.85,sample
600519.SH,2026-05-06,1971.5,2008.37,1919.87,1954.21,3130155.0,6116980202.55,0.54,sample
600519.SH,2026-05-07,1941.22,1952.73,1909.94,1928.59,25122794.0,48451569280.46,-1.31,sample
600519.SH,2026-05-08,1911.65,1941.73,1910.71,1924.17,12187530.0,23450879600.1,-0.23,sample
600519.SH,2026-05-11,1922.3,1946.07,1864.52,1889.91,28745890.0,54327144969.9,-1.78,sample
600519.SH,2026-05-12,1900.68,1914.79,1878.17,1897.25,15494642.0,29397209534.5,0.39,sample
600519.SH,2026-05-13,1900.15,1936.71,1842.35,1855.09,35661682.0,66155629661.38,-2.22,sample
600519.SH,2026-05-14,1836.83,1871.68,1827.0,1834.93,24336877.0,44656465713.61,-1.09,sample
600519.SH,2026-05-15,1820.54,1862.29,1786.59,1851.02,34165186.0,63240442589.72,0.88,sample
600519.SH,2026-05-18,1829.14,1830.81,1771.24,1805.35,36186138.0,65328644238.3,-2.47,sample
