code,trade_date,open,high,low,close,volume,pct_change,source
600519.SH,2026-04-03,1664.81,1738.21,1632.71,1713.68,26085565.0,0.0,sample
600519.SH,2026-04-06,1725.02,1756.11,1691.61,1740.78,24711692.0,1.58,sample
600519.SH,2026-04-07,1741.48,1767.93,1715.62,1740.75,14111677.0,0.0,sample
600519.SH,2026-04-08,1726.05,1759.73,1680.61,1701.08,13981749.0,-2.28,sample
600519.SH,2026-04-09,1679.73,1710.43,1664.54,1688.28,20215169.0,-0.75,sample
600519.SH,2026-04-10,1667.4,1682.21,1637.98,1648.22,1397183.0,-2.37,sample
600519.SH,2026-04-13,1642.3,1661.68,1640.95,1643.96,1059892.0,-0.26,sample
600519.SH,2026-04-14,1628.22,1643.21,1604.77,1606.72,39131672.0,-2.27,sample
600519.SH,2026-04-15,1622.47,1648.19,1594.55,1636.13,38265564.0,1.83,sample
600519.SH,2026-04-16,1645.58,1658.68,1634.94,1647.66,13364568.0,0.7,sample
600519.SH,2026-04-17,1626.34,1696.96,1594.13,1679.78,17814812.0,1.95,sample
600519.SH,2026-04-20,1677.35,1715.91,1674.3,1714.14,42597661.0,2.05,sample
600519.SH,2026-04-21,1726.64,1728.92,1686.95,1717.59,35988908.0,0.2,sample
600519.SH,2026-04-22,1729.47,1757.1,1705.55,1742.25,33897701.0,1.44,sample
600519.SH,2026-04-23,1720.54,1729.52,1709.26,1722.04,15765922.0,-1.16,sample
600519.SH,2026-04-24,1732.79,1778.18,1716.49,1770.29,39796498.0,2.8,sample
600519.SH,2026-04-27,1791.09,1812.61,1784.05,1793.08,5194353.0,1.29,sample
600519.SH,2026-04-28,1792.48,1825.12,1775.17,1799.9,40171217.0,0.38,sample
600519.SH,2026-04-29,1812.5,1821.0,1810.2,1819.92,43934404.0,1.11,sample
600519.SH,2026-04-30,1837.43,1870.97,1805.04,1828.24,32542365.0,0.46,sample
600519.SH,2026-05-01,1820.87,1844.96,1764.82,1799.98,30005157.0,-1.55,sample
600519.SH,2026-05-04,1788.54,1840.79,1782.38,1836.61,19827701.0,2.04,sample
600519.SH,2026-05-05,1846.4,1853.39,1833.44,1839.06,49252486.0,0.13,sample
600519.SH,2026-05-06,1854.83,1921.22,1837.91,1890.83,34789245.0,2.82,sample
600519.SH,2026-05-07,1873.54,1882.69,1832.34,1841.62,44573350.0,-2.6,sample
600519.SH,2026-05-08,1825.88,1886.06,1791.74,1879.27,47598687.0,2.04,sample
600519.SH,2026-05-11,1863.9,1869.03,1824.61,1853.7,27041366.0,-1.36,sample
600519.SH,2026-05-12,1835.68,1862.73,1803.26,1839.35,46163400.0,-0.77,sample
600519.SH,2026-05-13,1860.54,1878.62,1842.16,1848.43,22409050.0,0.49,sample
600519.SH,2026-05-14,1831.34,1851.16,1825.38,1826.3,39872079.0,-1.2,sample
600519.SH,2026-05-15,1821.9,1830.3,1749.54,1778.28,32966800.0,-2.63,sample
600519.SH,2026-05-18,1795.84,1812.46,1781.41,1797.28,31467333.0,1.07,sample
600519.SH,2026-05-19,1786.26,1819.94,1761.21,1815.34,13930683.0,1.0,sample
600519.SH,2026-05-20,1823.43,1883.2,1792.26,1863.43,10550684.0,2.65,sample
600519.SH,2026-05-21,1856.58,1868.32,1843.04,1855.57,28092238.0,-0.42,sample
600519.SH,2026-05-22,1881.63,1885.67,1830.63,1849.3,39981810.0,-0.34,sample
600519.SH,2026-05-25,1832.96,1876.33,1820.04,1858.22,14734810.0,0.48,sample
600519.SH,2026-05-26,1837.84,1906.5,1810.75,1901.17,16408805.0,2.31,sample
600519.SH,2026-05-27,1924.34,1947.96,1845.66,1853.62,10341833.0,-2.5,sample
600519.SH,2026-05-28,1875.41,1888.89,1798.29,1821.4,22242539.0,-1.74,sample
600519.SH,2026-05-29,1824.32,1845.11,1791.99,1822.51,44089654.0,0.06,sample
600519.SH,2026-06-01,1813.81,1865.84,1780.91,1851.17,28232727.0,1.57,sample
600519.SH,2026-06-02,1859.49,1874.37,1819.51,1834.88,40162842.0,-0.88,sample
600519.SH,2026-06-03,1821.08,1857.16,1808.16,1808.18,29150439.0,-1.46,sample
600519.SH,2026-06-04,1798.79,1802.56,1786.15,1793.13,32979519.0,-0.83,sample
600519.SH,2026-06-05,1769.0,1795.2,1732.61,1765.59,44246203.0,-1.54,sample
600519.SH,2026-06-08,1792.04,1821.15,1775.8,1795.97,48433980.0,1.72,sample
600519.SH,2026-06-09,1797.26,1847.69,1764.97,1832.25,15973479.0,2.02,sample
600519.SH,2026-06-10,1829.92,1857.87,1762.58,1777.86,20773967.0,-2.97,sample
600519.SH,2026-06-11,1798.05,1803.45,1714.29,1741.28,22563432.0,-2.06,sample
600519.SH,2026-06-12,1720.06,1790.97,1716.09,1781.15,33812300.0,2.29,sample
600519.SH,2026-06-15,1800.57,1824.48,1770.76,1790.73,38247309.0,0.54,sample
600519.SH,2026-06-16,1808.89,1831.21,1764.34,1784.95,49150553.0,-0.32,sample
600519.SH,2026-06-17,1779.54,1786.91,1762.75,1767.61,25442408.0,-0.97,sample
600519.SH,2026-06-18,1768.72,1817.3,1765.24,1815.73,6652747.0,2.72,sample
600519.SH,2026-06-19,1814.91,1851.02,1791.59,1808.0,17659241.0,-0.43,sample
600519.SH,2026-06-22,1782.33,1850.03,1781.69,1850.0,23060985.0,2.32,sample
600519.SH,2026-06-23,1876.02,1927.01,1857.71,1899.07,30046763.0,2.65,sample
600519.SH,2026-06-24,1897.14,1964.33,1889.08,1949.91,11372051.0,2.68,sample
600519.SH,2026-06-25,1955.54,2004.38,1944.34,1976.8,45757678.0,1.38,sample
