code,trade_date,open,high,low,close,volume,amount,pct_change,source
600519.SH,2026-04-03,1693.16,1714.76,1672.13,1709.84,5769472.0,9864874004.48,0.0,sample
600519.SH,2026-04-06,1726.45,1744.13,1703.18,1738.61,4853709.0,8438707004.49,1.68,sample
600519.SH,2026-04-07,1733.48,1763.4,1707.51,1745.85,11303698.0,19734561153.3,0.42,sample
600519.SH,2026-04-08,1753.54,1768.73,1683.38,1702.32,1767379.0,3008644619.28,-2.49,sample
600519.SH,2026-04-09,1684.58,1696.36,1670.71,1685.77,38557015.0,64998259176.55,-0.97,sample
600519.SH,2026-04-10,1679.52,1708.06,1634.79,1659.47,39226492.0,65095186679.24,-1.56,sample
600519.SH,2026-04-13,1655.28,1668.16,1617.01,1638.25,11790728.0,19316160146.0,-1.28,sample
600519.SH,2026-04-14,1655.5,1679.5,1592.14,1602.17,26455520.0,42386240478.4,-2.2,sample
600519.SH,2026-04-15,1582.25,1595.72,1543.21,1556.62,24035038.0,37413420851.56,-2.84,sample
600519.SH,2026-04-16,1577.08,1594.97,1537.97,1550.89,24209648.0,37546500986.72,-0.37,sample
600519.SH,2026-04-17,1550.94,1577.68,1521.96,1560.94,45610250.0,71194863635.0,0.65,sample
600519.SH,2026-04-20,1545.64,1550.93,1522.47,1526.88,35469237.0,54157268590.56,-2.18,sample
600519.SH,2026-04-21,1535.45,1569.04,1508.02,1566.89,2516739.0,3943453171.71,2.62,sample
600519.SH,2026-04-22,1568.25,1598.9,1553.75,1594.62,36821936.0,58716995584.32,1.77,sample
600519.SH,2026-04-23,1586.45,1597.11,1584.91,1590.02,36193168.0,57547860983.36,-0.29,sample
600519.SH,2026-04-24,1607.28,1627.78,1598.13,1620.29,37487722.0,60740981079.38,1.9,sample
600519.SH,2026-04-27,1601.82,1629.79,1578.46,1599.48,44245737.0,70770171416.76,-1.28,sample
600519.SH,2026-04-28,1584.09,1598.72,1533.41,1559.88,15675737.0,24452268631.56,-2.48,sample
600519.SH,2026-04-29,1579.95,1583.33,1558.65,1565.85,30327534.0,47488369113.9,0.38,sample
600519.SH,2026-04-30,1557.11,1576.61,1537.67,1546.39,3592388.0,5555232879.32,-1.24,sample
600519.SH,2026-05-01,1569.04,1588.56,1494.91,1514.07,44945055.0,68049959423.85,-2.09,sample
600519.SH,2026-05-04,1503.13,1516.0,1470.97,1492.62,43150716.0,64407621715.92,-1.42,sample
600519.SH,2026-05-05,1477.9,1517.62,1460.29,1492.7,36947767.0,55151931800.9,0.01,sample
600519.SH,2026-05-06,1512.73,1534.54,1437.56,1454.29,5807861.0,8446314173.69,-2.57,sample
600519.SH,2026-05-07,1445.94,1512.67,1423.6,1495.58,35306704.0,52804000368.32,2.84,sample
600519.SH,2026-05-08,1497.9,1509.21,1455.48,1481.33,20745209.0,30730500447.97,-0.95,sample
600519.SH,2026-05-11,1472.06,1501.93,1451.62,1495.59,30858019.0,46150944636.21,0.96,sample
600519.SH,2026-05-12,1501.42,1531.04,1438.54,1459.97,19536879.0,28523257233.63,-2.38,sample
600519.SH,2026-05-13,1447.73,1448.07,1403.6,1421.93,35041833.0,49827033597.69,-2.61,sample
600519.SH,2026-05-14,1421.47,1447.69,1404.53,1405.18,7231894.0,10162112810.92,-1.18,sample
600519.SH,2026-05-15,1393.68,1437.95,1376.37,1435.73,16733744.0,24025138273.12,2.17,sample
600519.SH,2026-05-18,1451.04,1454.13,1437.04,1452.97,28697623.0,41696785290.31,1.2,sample
600519.SH,2026-05-19,1434.08,1474.63,1418.28,1458.7,11378390.0,16597657493.0,0.39,sample
600519.SH,2026-05-20,1476.83,1478.22,1410.9,1437.26,12065151.0,17340758926.26,-1.47,sample
600519.SH,2026-05-21,1433.44,1455.46,1376.19,1396.3,37429526.0,52262847153.8,-2.85,sample
600519.SH,2026-05-22,1386.54,1430.29,1375.91,1417.24,43541049.0,61708116284.76,1.5,sample
600519.SH,2026-05-25,1422.56,1444.35,1417.78,1437.57,31090922.0,44695376739.54,1.43,sample
600519.SH,2026-05-26,1444.37,1449.03,1407.48,1412.2,25595632.0,36146151510.4,-1.76,sample
600519.SH,2026-05-27,1392.63,1452.33,1375.71,1440.4,3285613.0,4732596965.2,2.0,sample
600519.SH,2026-05-28,1425.86,1495.52,1410.64,1470.71,27781174.0,40858050413.54,2.1,sample
600519.SH,2026-05-29,1477.66,1487.84,1468.87,1485.36,30036765.0,44615409260.4,1.0,sample
600519.SH,2026-06-01,1491.56,1515.01,1430.47,1456.03,36027556.0,52457202362.68,-1.97,sample
600519.SH,2026-06-02,1471.01,1492.58,1418.48,1427.69,14323485.0,20449496299.65,-1.95,sample
600519.SH,2026-06-03,1417.7,1460.69,1411.53,1444.99,39395489.0,56926087650.11,1.21,sample
600519.SH,2026-06-04,1456.62,1494.2,1448.06,1478.39,31040344.0,45889734166.16,2.31,sample
600519.SH,2026-06-05,1492.58,1535.2,1473.85,1511.97,10456427.0,15809803931.19,2.27,sample
600519.SH,2026-06-08,1522.37,1549.73,1450.99,1480.24,18832827.0,27877103838.48,-2.1,sample
600519.SH,2026-06-09,1499.84,1529.76,1440.75,1446.45,48975725.0,70840937426.25,-2.28,sample
600519.SH,2026-06-10,1446.47,1459.46,1414.75,1427.69,7273634.0,10384494525.46,-1.3,sample
600519.SH,2026-06-11,1435.47,1460.32,1389.42,1410.53,4643024.0,6549124642.72,-1.2,sample
600519.SH,2026-06-12,1395.53,1447.85,1372.28,1445.73,8246432.0,11922114135.36,2.5,sample
600519.SH,2026-06-15,1452.59,1483.45,1434.22,1469.1,9890030.0,14529443073.0,1.62,sample
600519.SH,2026-06-16,1467.78,1492.41,1448.09,1481.07,39285016.0,58183858647.12,0.81,sample
600519.SH,2026-06-17,1470.95,1486.51,1464.67,1480.82,44744605.0,66258705976.1,-0.02,sample
600519.SH,2026-06-18,1500.47,1530.22,1475.18,1524.44,5271247.0,8035699776.68,2.95,sample
600519.SH,2026-06-19,1523.45,1591.59,1494.66,1564.6,34430143.0,53869401737.8,2.63,sample
600519.SH,2026-06-22,1556.68,1604.82,1541.01,1603.46,16674686.0,26737192013.56,2.48,sample
600519.SH,2026-06-23,1594.9,1625.19,1579.32,1616.92,38895568.0,62891021810.56,0.84,sample
600519.SH,2026-06-24,1595.22,1667.64,1588.25,1649.91,6371854.0,10512985633.14,2.04,sample
600519.SH,2026-06-25,1642.24,1695.21,1630.54,1664.23,37749209.0,62823366094.07,0.87,sample
